feedback_be_direct.md	internal process/workflow preference — how this team prefers to receive communication from assistants
feedback_always_deploy_to_mac_mini.md	Internal process/workflow: this is a team-specific deployment procedure for a private service (Zugabot, Mac Mini host). It documents how THIS team deploys to internal infrastructure and contains private hostnames/paths that only make sense with insider context.
feedback_archive_superseded_external_service_docs_immediately.md	Internal process/workflow feedback. Describes team-specific document management practice (archiving stale config drafts), internal naming conventions (how to name archived files), and internal incident context (Mike's review process, ZugaHealth project). Not a generalizable technical fix for a public library, framework, or tool that Claude agents commonly encounter.
feedback_abs_cold_start_recovery_via_403.md	Internal process/workflow for this team's 3D printer hardware (ABS printing cold-start recovery procedure, internal command 403, internal tool centauri_set_temp.py, internal project rover_chassis_v2, internal slice_cc1.py). Not generalizable to other developers' Claude agents without deep context about custom print firmware and hardware setup.
feedback_audit_recipe_v2_delete_reorganize_test.md	Internal process/workflow document. Describes team-specific audit procedures, approval gates (Buga sign-off), internal project names (Zugabot, MM daemon), internal folder structure (backend/core/), and internal constraints. Not a reusable technical fix for a public library or language feature.
feedback_broad_probe_before_kill.md	Internal process/workflow feedback about this team's debugging and kill-switch procedures, naming internal projects (Zugabot, BMI thesis, cognitive_stream.py, Antonio), and internal incident post-mortems. Not a generalizable technical fix for a public library/tool/framework that an unrelated developer would encounter.
feedback_budget_reads_must_go_through_budgetmanager.md	Internal process/workflow rule specific to this team's codebase and deployment. References internal file paths (backend/core/cost/budget_manager.py), internal module names (monad_paid, zugabot), internal commit hashes, and internal architectural decisions about how THIS team gates spend calculations. Not a generalizable public library/framework/tool fix that an unrelated developer would encounter.
feedback_build_minimal_first.md	Internal process/workflow preference: how THIS team (Zuga) structures their development phases and architectural decisions. References internal project names, internal roles (Antonio), internal infra (backend/core/ai/agent.py, FastAPI ministry on MM, Zugabot HTTP), and internal session IDs. Not a reusable technical fix for a public library or common framework problem that Claude agents encounter.
feedback_calendar_protect_research_30pct.md	Internal team process/workflow and time-management practice. This is a personal calendar protection strategy specific to one person's role and internal projects (BMI Paper 3, ZugaClaw mission). Not a generalizable technical fix, library gotcha, or tool/framework issue that other developers would encounter.
feedback_certs_terminology.md	Internal team process/terminology. This is a note about how to interpret one person's language in internal meetings, not a generalizable technical problem that an unrelated developer or Claude Code agent would encounter. It contains insider context about a specific partnership cohort, team composition, and internal naming conventions.
feedback_claude_memory_sync.md	Internal workflow/process documentation: describes a team's custom memory sync procedure between machines, naming conventions (how Claude Code auto-generates folder names), internal paths, deployment targets (Mac Mini), and operational runbooks. Not a generalizable technical fix for a public library, framework, or tool that other developers would encounter.
feedback_cloudflare_dns_verify_via_authoritative_ns.md	Internal process/workflow for a specific team's Cloudflare DNS management. Contains private infra context (specific zone names like 'zugabot.ai', internal session IDs, team member references). Not a generalizable public library/tool fix that unrelated developers would encounter.
feedback_conversational_protocol_ipip_calibrated.md	Internal process/workflow document about how to interact with a specific named individual (Buga) based on their psychological profile. Contains personalized conversational protocols, internal team member names, references to private infrastructure (memory files, logs, queues, financial data), and operational procedures specific to this organization's context. Not generalizable to unrelated developers or Claude agents.
feedback_critical_priority_bypass.md	Internal process/workflow note about a private system (zugabrain) and team risk assessment. Not a generalizable technical fix for a public library or tool that an unrelated developer would encounter.
feedback_coordinate_with_resident_not_just_daemon.md	Internal process/workflow documentation. Describes how THIS team coordinates between their specific daemons (zugabee, claude-resident) and internal tooling (SharedMemory, zugabot-resident-loop.sh, coordination files). No generalizable public library/framework fix; not a problem an unrelated developer's Claude agent would encounter.
feedback_cross_repo_caller_audit_after_retirement.md	Internal process/workflow about how THIS team manages cross-repo refactoring in their specific monorepo architecture (ZugaApp, ZugaLife, ZugaMotion, etc., Railway deployment). The 'fix' is a checklist for their audit process before deletions, not a reusable technical solution to a library/framework/tool problem that other developers commonly hit.
feedback_daemon_worktree_branch_reuse_bug.md	Internal codebase fix (openclaw repo) with internal service names and process context. Not a reusable public library/framework/tool issue that an unrelated developer's Claude agent would encounter.
feedback_deploy_branch_per_repo.md	Internal process/workflow document specific to ZugaApp team's deployment procedures, naming conventions, and infrastructure. Not a generalizable technical fix for a public library/framework/tool that other developers would encounter.
feedback_deploy_zugabot_skill_mandatory.md	internal process/workflow preference — specific to this team's deployment procedure, zugabot.ai (private infra), and how their Claude agent should behave. Not a generalizable technical fix for a public library or tool.
feedback_discord_signal_not_noise.md	Internal process/workflow rule about this team's Discord channel management and notification hygiene. No generalizable technical fix for external developers or Claude Code agents — this is specific operational policy for one team's internal communication practices.
feedback_deploy_vocabulary.md	Internal process/workflow documentation. This is team vocabulary/naming convention for how THIS team disambiguates deployment commands to different targets (Mac Mini vs Railway). Not a generalizable technical fix for a public library, tool, or framework that an unrelated developer would encounter.
feedback_dms_via_zugabot_ai_inbox_not_discord.md	Internal process/workflow change. Describes how THIS team routes messages through their internal product (zugabot.ai inbox vs Discord), names internal services/modules (zugamind, proactive_ask, self-mod), and references internal personnel decisions. Not a generalizable technical fix for a public tool/library that Claude agents commonly encounter.
feedback_dockerfile_echo_cache.md	Internal process/workflow: This is about how THIS team's deploy process works (updating ZugaApp's Dockerfile on each deploy). The fix is specific to their project structure and deployment procedure, not a generalizable technical gotcha about Docker, git, or build systems that would help an unrelated developer.
feedback_dockerfile_override_trap.md	Internal process/workflow advice specific to ZugaApp deployment and this team's internal infra (Railway, specific file paths, internal project names). Not a generalizable technical fix for a public tool or framework.
feedback_env_files.md	internal process/workflow preference — describes how THIS team wants Claude to handle .env files in their codebase, not a generalizable technical fix
feedback_env_sync_required.md	internal process/workflow — describes team-specific deployment sync procedure between Windows and Mac Mini machines, not a generalizable public library/tool issue
feedback_explain_simply.md	internal process/workflow preference — guidance for how to communicate with a specific person on this team, not a generalizable technical fix
feedback_food_court_food_truck.md	Internal process/workflow guidance (architecture rule for THIS team's plugin system and codebase structure). Not a generalizable technical fix for a public library/tool/framework that an unrelated developer's AI agent would encounter.
feedback_extract_tester_logs_first.md	Internal workflow/process preference for this team's tester-log MCP protocol and how to handle bug reports from named individuals (Mike, Justin, etc). Not a generalizable technical fix for a public tool or library—it's team-specific procedure for their internal logging system.
feedback_just_do_it.md	Internal process/workflow feedback about team communication and individual work habits, not a generalizable technical fix for a public tool or library.
feedback_local_build_before_push.md	Internal process/workflow guidance (team discipline for THIS project's CI/CD). Not a reusable technical fix for a public library or framework. Claude agents don't need memory of 'always run local build before push' — they need specific Vite/TypeScript/Vue errors and solutions.
feedback_mac_mini_fleet.md	Internal process/workflow: describes how THIS team deploys their studios across Mac Mini + Railway, launchd setup, and internal service architecture (ZugaApp). Not a generalizable public library/framework fix that Claude agents commonly encounter.
feedback_mac_mini_home_dir.md	Internal process/workflow note about a specific team member's SSH setup and internal host configuration. Not a generalizable technical fix—it's a naming convention/reminder for a particular private machine and user account.
feedback_manual_retest_treadmill_is_the_real_blocker.md	Internal process/workflow feedback about team decision-making and organizational bottleneck patterns. Not a technical fix for a public library, framework, or tool that another developer's agent would encounter.
feedback_mike_slow_on_purpose.md	Internal process/workflow preference about how to manage one team member's workload and role. No generalizable technical fix — this is organizational context and people management.
feedback_never_dump_env.md	This is internal process/workflow feedback about team security practices and incident response, not a generalizable technical fix for a public tool or framework that Claude agents encounter.
feedback_monad_states_vs_backend_affect.md	Internal project context: references private backend infrastructure (/api/cognition/conv/mood/state, MoodManager, Zugabot, Buga), internal codebase paths (cognitive_stream.py, mood_system.py), and project-specific naming conventions (monad states, qualia engine). Not generalizable to external developers or unrelated Claude Code agents.
feedback_never_blame_other_sessions.md	Internal process/workflow feedback about how THIS team's Claude sessions should interact with shared memory and each other. Not a generalizable technical fix for a public tool or library that other developers would encounter.
